cve_ent,ent,anio,pob_tot,i_analf,i_asistesc,i_edbasinc,i_sdsalud,i_ptierra,i_nosan,i_noagua,i_nodren,i_noelec,i_nolav,i_noref,irs,grs,lugar
28,Tamaulipas,2005,3024238,4.510837,4.089906,41.81538,31.75656,5.063501,5.938782,5.789502,14.99484,6.922032,30.82479,14.18001,-0.6958079,Muy bajo,26
29,Tlaxcala,2005,1068207,6.672505,4.270397,44.09489,63.47356,6.070181,8.934458,3.44919,8.701006,3.27346,57.37661,39.24047,0.0452299,Medio,13
30,Veracruz,2005,7110214,13.40792,5.932342,55.42159,59.1614,20.16516,7.351353,25.73539,19.13084,6.367704,54.42358,32.57008,0.9503908,Alto,5
31,Yucatán,2005,1818948,10.87228,4.203302,51.11422,44.8175,4.330919,20.47058,6.233621,26.98143,5.860844,36.36424,29.89313,0.3439496,Alto,8
32,Zacatecas,2005,1367692,7.191551,5.517957,57.4818,56.42974,6.053245,13.69345,7.666644,14.26599,3.47279,27.74296,18.66771,-0.0939522,Medio,16
00,Nacional,2000,97483412,9.45551,8.21134,52.43729,56.98999,13.80637,14.12278,15.68054,21.9042,4.96304,48.03614,31.50546,,,
01,Aguascalientes,2000,944285,4.83798,6.89279,49.0691,43.40077,3.5221,6.04118,3.29091,5.0512,2.06321,23.79362,17.9074,-1.135999,Muy bajo,29
02,Baja California,2000,2487367,3.52374,7.59509,44.38285,38.09538,4.94814,6.12225,10.62206,18.11845,2.83177,28.04745,10.5468,-1.028277,Muy bajo,28
03,Baja California Sur,2000,424041,4.20129,5.62454,44.34074,39.23701,10.80879,8.19716,12.91343,19.4286,5.39769,45.84104,18.51717,-0.7107521,Bajo,25
04,Campeche,2000,690689,11.80139,8.13577,57.70463,60.46832,14.41089,19.02578,19.90456,36.21201,8.77822,48.22994,42.77022,0.5345663,Alto,9
05,Coahuila,2000,2298070,3.86465,5.68559,43.45261,28.41393,4.8968,6.29932,6.53839,16.52692,1.86268,25.03983,12.65206,-1.266207,Muy bajo,30
06,Colima,2000,542627,7.15085,7.938,51.13931,48.21673,11.9313,5.82132,6.02098,6.75866,2.54903,42.35852,20.62639,-0.7081631,Bajo,24
07,Chiapas,2000,3920892,22.90511,15.89193,71.37751,77.81571,38.44886,23.01639,31.98788,37.72625,12.09997,84.65073,62.89172,2.26737,Muy alto,1
08,Chihuahua,2000,3052907,4.79032,8.41846,52.58071,39.28004,6.62236,9.2671,8.0395,14.84526,6.07121,27.33157,14.84812,-0.7388701,Bajo,26
09,Distrito Federal,2000,8605239,2.90314,3.56983,32.69573,45.93733,1.90236,8.66095,3.118,1.83173,0.47282,30.69668,14.35901,-1.509716,Muy bajo,31
10,Durango,2000,1448661,5.40224,8.19013,56.51017,49.22649,12.81897,16.12316,10.02613,26.48284,6.41414,44.05066,27.06958,-0.1429958,Medio,16
11,Guanajuato,2000,4663032,11.98021,10.20683,63.61468,64.51598,10.71002,19.26608,11.70042,23.71515,3.78985,41.93598,30.56751,0.2133349,Medio,13
12,Guerrero,2000,3079649,21.5475,11.08847,63.91712,78.12485,36.92074,36.88572,40.13214,46.4373,10.66561,79.18234,46.17207,2.117126,Muy alto,3
13,Hidalgo,2000,2235591,14.91142,5.95796,58.70441,69.58934,18.23709,22.06632,20.44856,34.28468,8.09226,72.2704,52.49938,0.8640431,Alto,6
14,Jalisco,2000,6322002,6.44855,8.59384,53.50891,53.81249,7.27138,7.53156,10.77665,8.25704,2.50097,29.22767,15.95187,-0.7058299,Bajo,23
15,México,2000,13096686,6.39489,5.81192,45.14528,54.80918,7.11873,15.55587,10.12914,13.68904,2.09792,47.37251,32.96047,-0.5434588,Bajo,21
16,Michoacán,2000,3985667,13.88751,11.79757,65.05995,71.97679,18.57472,14.42742,17.39516,25.32809,4.65349,52.77863,35.83129,0.6108041,Alto,8
17,Morelos,2000,1555296,9.24092,8.13173,47.29504,61.74034,13.89863,13.07357,13.91981,15.01462,2.03935,56.30319,28.07801,-0.2062002,Medio,18
18,Nayarit,2000,920185,9.04335,7.12545,53.07584,58.47096,12.11145,12.59644,15.22897,19.77042,4.60898,43.20858,27.76655,-0.1835182,Medio,17
19,Nuevo León,2000,3834141,3.31803,4.72072,37.17034,31.18315,3.77544,4.35135,6.46517,9.22331,1.47394,18.92169,8.29228,-1.541669,Muy bajo,32
20,Oaxaca,2000,3438765,21.46607,10.22104,70.03404,76.01845,39.71036,22.18275,34.52804,54.40741,12.66937,82.16484,62.39617,2.160897,Muy alto,2
21,Puebla,2000,5076686,14.59457,10.44498,60.29304,71.44939,22.68988,16.78413,22.71866,34.42508,5.20671,67.78657,54.64045,0.9600728,Alto,5
22,Querétaro,2000,1404306,9.79375,7.77447,50.88005,52.60634,9.89317,19.74162,11.80072,24.28585,5.99946,53.3399,33.05686,-0.0029218,Medio,15
23,Quintana Roo,2000,874963,7.51528,6.79538,47.72535,51.54766,10.54342,14.17271,10.03791,16.30781,4.67974,44.65418,34.82578,-0.3646522,Medio,20
24,San Luis Potosí,2000,2299360,11.27958,6.76692,58.02513,61.15519,22.08918,13.32713,23.85245,37.91964,11.5414,50.27907,40.82229,0.630159,Alto,7
25,Sinaloa,2000,2536844,7.95567,8.71204,52.51121,45.43381,14.18047,14.27422,15.06976,25.70738,3.74134,44.50609,18.23849,-0.2431745,Medio,19
26,Sonora,2000,2216969,4.39022,5.69405,45.67233,41.74533,12.77561,6.53152,8.41254,20.82411,3.89078,41.39853,14.61055,-0.8080306,Muy bajo,27
27,Tabasco,2000,1891829,9.72328,7.43199,56.31193,69.48413,13.10686,12.11293,30.72093,14.64663,6.04769,59.70301,42.14694,0.3370818,Medio,10
28,Tamaulipas,2000,2753222,5.13061,6.63645,47.33227,46.5192,9.04945,7.21488,9.71883,25.66507,5.39817,39.82116,20.77421,-0.6029251,Bajo,22
